Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-04-05,78.131,78.995,77.469,78.198,788600,0.0,0.0
2018-04-06,77.824,78.496,75.808,76.95,537500,0.0,0.0
2018-04-09,77.661,77.901,76.691,76.749,508200,0.0,0.0
2018-04-10,77.814,79.321,77.488,78.746,629000,0.0,0.0
2018-04-11,77.968,78.419,77.354,78.16,390700,0.0,0.0
2018-04-12,78.64,79.965,78.352,79.417,404200,0.0,0.0
2018-04-13,79.801,80.435,78.064,78.419,573300,0.0,0.0
2018-04-16,79.245,80.435,78.928,79.859,397200,0.0,0.0
2018-04-17,80.464,81.049,79.379,79.408,600800,0.0,0.0
2018-04-18,79.753,80.848,79.705,80.089,440400,0.0,0.0
2018-04-19,80.051,80.79,79.686,80.435,528200,0.0,0.0
2018-04-20,80.291,85.888,79.264,84.035,4165500,0.0,0.0
2018-04-23,85.427,86.387,84.208,84.515,1428000,0.0,0.0
2018-04-24,85.82,88.48,85.82,86.723,2123400,0.0,0.0
2018-04-25,87.107,87.692,85.273,85.801,895600,0.0,0.0
2018-04-26,85.897,86.742,84.889,85.379,595600,0.0,0.0
2018-04-27,84.476,85.926,84.102,85.792,547500,0.0,0.0
2018-04-30,86.252,86.761,85.148,85.254,491800,0.0,0.0
2018-05-01,84.841,85.369,83.737,85.168,998500,0.0,0.0
2018-05-02,84.928,85.465,83.92,84.102,710700,0.0,0.0
2018-05-03,84.044,85.715,83.181,85.043,525500,0.0,0.0
2018-05-04,84.726,86.944,84.371,86.368,408700,0.0,0.0
2018-05-07,86.588,88.278,84.342,87.481,383900,0.0,0.0
2018-05-08,87.616,88.902,87.088,88.393,1119700,0.0,0.0
2018-05-09,88.46,90.092,88.374,89.747,976800,0.0,0.0
2018-05-10,89.852,90.631,89.699,90.189,923600,0.12,0.0
2018-05-11,90.352,90.554,89.016,89.449,481300,0.0,0.0
2018-05-14,90.535,91.832,89.362,89.564,732000,0.0,0.0
2018-05-15,88.987,89.583,88.391,89.574,549000,0.0,0.0
2018-05-16,89.602,91.467,89.602,90.9,689600,0.0,0.0
2018-05-17,90.756,91.265,89.987,90.496,594100,0.0,0.0
2018-05-18,90.689,91.688,90.689,91.496,412200,0.0,0.0
